Name,Age,Gender,Marital Status,Employment Type,Industry,Years with Current Employer,Education Level,CIBIL Score,Loan Type,Loan Purpose,Loan Amount Requested,Loan Tenure,Existing Loans,Loan Repayment History,DTI Ratio,Credit Utilization Ratio,Credit Card Payment Behavior,Monthly Income,Income Stability,Total Savings & Deposits,Bank Account Activity,Large Transactions Before Loan,Number of Credit Cards,Total Credit Limit,Utility & Rent Payments History,Fraud
Sandra Bates,69,Female,Married,Unemployed,Finance,16,Bachelors,805,Business Loan,Equipment Purchase,387344,36,0,Good,0.26,0.9,Late Payments,113994,Stable,169764,High,0,3,428339,Missed Payments,0
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Mr. Joseph Mcdaniel,59,Male,Divorced,Salaried,IT,19,High School,426,Home Loan,Home Renovation,334182,72,0,Average,0.29,0.43,On-Time,194408,Unstable,172541,Low,0,2,253251,Missed Payments,0
Patricia Obrien,55,Male,Single,Self-Employed,Manufacturing,11,Bachelors,628,Business Loan,Business Expansion,177144,48,4,Average,0.47,0.77,Missed Payments,28151,Unstable,74231,High,1,3,52789,Late Payments,0
Jason Hale,32,Male,Married,Salaried,Education,15,PhD,828,Personal Loan,Wedding,168596,60,4,Average,0.81,0.4,Missed Payments,116040,Unstable,67404,Moderate,0,3,302628,Late Payments,0
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Taylor Heath,51,Female,Divorced,Salaried,Healthcare,3,High School,637,Home Loan,Property Investment,459444,60,2,Good,0.24,0.28,Missed Payments,136333,Unstable,59658,Low,0,2,380433,Missed Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
Gerald Black,54,Female,Married,Salaried,Healthcare,14,Masters,379,Personal Loan,Vacation,220602,84,0,Average,0.57,0.97,On-Time,174008,Stable,364286,Low,1,2,98454,On-Time,0
Teresa Banks,48,Female,Single,Self-Employed,Finance,9,High School,322,Personal Loan,Debt Consolidation,78553,36,4,Poor,0.88,0.77,Missed Payments,107084,Unstable,366432,Low,1,4,87741,Missed Payments,1
Jonathan Howell,33,Male,Single,Unemployed,IT,0,High School,882,Car Loan,Car Repair,235196,96,3,Average,0.52,0.72,Missed Payments,137095,Stable,365677,Moderate,0,4,138410,Late Payments,0
Crystal Richardson,64,Male,Married,Salaried,Finance,8,Masters,411,Home Loan,Home Renovation,457780,36,2,Poor,0.45,0.63,Late Payments,103564,Unstable,36152,High,0,3,130305,On-Time,0
Patricia Thompson,33,Male,Divorced,Unemployed,IT,4,Bachelors,309,Home Loan,Property Investment,369330,84,2,Poor,0.89,0.27,Missed Payments,47991,Unstable,145654,High,0,3,138797,Missed Payments,1
Sandra Stone,18,Male,Divorced,Unemployed,Manufacturing,0,PhD,889,Car Loan,Car Repair,364045,72,1,Good,0.2,0.57,On-Time,63012,Stable,322459,Moderate,1,1,192667,On-Time,0
Susan Sampson,25,Female,Married,Unemployed,Healthcare,13,High School,573,Home Loan,Property Investment,204082,24,0,Good,0.53,0.62,On-Time,97560,Stable,272679,Moderate,0,3,259013,Missed Payments,0
Karen Scott,31,Female,Single,Unemployed,IT,6,Bachelors,731,Business Loan,Business Expansion,478199,96,1,Good,0.56,0.61,On-Time,172427,Stable,354297,Low,0,3,314704,On-Time,0
Jeffrey Brown,58,Male,Single,Self-Employed,IT,19,PhD,828,Personal Loan,Debt Consolidation,76783,60,3,Good,0.7,0.97,Missed Payments,88862,Unstable,388566,High,1,2,130706,Late Payments,0
Eric Martinez,32,Male,Single,Self-Employed,IT,2,PhD,658,Car Loan,Car Repair,230100,96,3,Poor,0.71,0.76,On-Time,184358,Unstable,129821,High,1,4,261344,Missed Payments,0
Angela Adkins MD,41,Female,Divorced,Unemployed,Manufacturing,8,PhD,423,Home Loan,Buying a House,131615,60,0,Good,0.12,0.72,On-Time,107082,Stable,62990,Moderate,1,3,230873,Late Payments,0
Bradley Ritter,69,Female,Married,Unemployed,IT,6,Masters,747,Business Loan,Business Expansion,244972,48,3,Good,0.31,0.56,Late Payments,103403,Stable,332436,Moderate,0,3,365038,On-Time,0
Tanya Baird DVM,63,Female,Married,Self-Employed,Education,17,Bachelors,352,Car Loan,Vehicle Purchase,377012,72,4,Poor,0.12,0.34,Missed Payments,107212,Unstable,260099,High,1,3,462156,Late Payments,0
Michael Medina,50,Female,Divorced,Unemployed,IT,1,PhD,747,Car Loan,Car Repair,273813,48,1,Poor,0.5,0.93,Missed Payments,194903,Unstable,47004,Low,1,3,85398,On-Time,0
Barbara Reese,36,Female,Married,Unemployed,IT,15,High School,616,Car Loan,Vehicle Purchase,334141,96,2,Good,0.66,0.99,On-Time,106826,Stable,302437,Low,0,2,333276,Late Payments,0
Gary Thornton,27,Female,Single,Self-Employed,Healthcare,12,Bachelors,570,Business Loan,Working Capital,58152,24,3,Average,0.66,0.55,Missed Payments,113936,Unstable,319772,Low,1,1,466440,Missed Payments,0
Chad Blake,49,Female,Single,Unemployed,IT,2,Masters,442,Business Loan,Business Expansion,64499,96,0,Poor,0.63,0.87,Missed Payments,93177,Unstable,236064,High,0,3,64767,Late Payments,1
Anthony Huerta,64,Female,Married,Unemployed,Healthcare,12,PhD,774,Home Loan,Buying a House,430857,84,3,Poor,0.68,0.32,Late Payments,185835,Unstable,352631,Low,0,4,204422,On-Time,0
David Combs,38,Female,Married,Self-Employed,IT,10,PhD,748,Home Loan,Buying a House,389469,96,0,Average,0.64,0.19,Missed Payments,115573,Unstable,325283,Low,0,3,412334,Missed Payments,0
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Patricia Thompson,33,Male,Divorced,Unemployed,IT,4,Bachelors,309,Home Loan,Property Investment,369330,84,2,Poor,0.89,0.27,Missed Payments,47991,Unstable,145654,High,0,3,138797,Missed Payments,1
David Sherman,59,Male,Married,Self-Employed,IT,0,PhD,816,Home Loan,Property Investment,356653,24,4,Poor,0.52,0.7,On-Time,27206,Stable,484551,Moderate,1,3,477534,Late Payments,0
Amy Thomas,64,Female,Divorced,Unemployed,IT,3,PhD,728,Personal Loan,Medical Emergency,482485,12,3,Poor,0.8,0.92,Missed Payments,91496,Unstable,301340,Low,1,3,465366,On-Time,0
Sandra Stone,18,Male,Divorced,Unemployed,Manufacturing,0,PhD,889,Car Loan,Car Repair,364045,72,1,Good,0.2,0.57,On-Time,63012,Stable,322459,Moderate,1,1,192667,On-Time,0
Steven Harris,39,Female,Divorced,Self-Employed,Education,14,High School,372,Personal Loan,Wedding,462428,96,2,Poor,0.52,0.62,Late Payments,89280,Stable,27811,Low,1,4,417187,Missed Payments,0
Charles Mcdonald,33,Male,Divorced,Unemployed,Healthcare,0,PhD,796,Business Loan,Business Expansion,371917,84,3,Poor,0.18,0.52,On-Time,63228,Stable,331229,Low,1,2,321207,On-Time,0
Melissa Vasquez,27,Male,Divorced,Unemployed,Finance,17,Bachelors,644,Business Loan,Working Capital,215334,96,2,Average,0.31,0.59,Late Payments,85517,Unstable,377146,Moderate,0,1,440212,On-Time,0
Patricia Thompson,33,Male,Divorced,Unemployed,IT,4,Bachelors,309,Home Loan,Property Investment,369330,84,2,Poor,0.89,0.27,Missed Payments,47991,Unstable,145654,High,0,3,138797,Missed Payments,1
Brian Kirby,57,Female,Divorced,Self-Employed,IT,0,PhD,838,Personal Loan,Wedding,478671,36,4,Average,0.24,0.17,Late Payments,160485,Unstable,263007,High,0,1,242815,Late Payments,0
Trevor Logan,49,Female,Divorced,Unemployed,Education,15,Masters,607,Business Loan,Equipment Purchase,401368,48,0,Average,0.61,0.23,Late Payments,161797,Stable,462818,Low,1,1,349854,Late Payments,0
Angela Rice,56,Female,Married,Unemployed,Education,13,Masters,645,Home Loan,Property Investment,307376,84,0,Poor,0.17,0.28,Late Payments,65608,Stable,461545,Moderate,1,2,299182,Late Payments,0
Thomas Krueger,62,Male,Married,Self-Employed,Healthcare,0,High School,711,Business Loan,Equipment Purchase,469341,36,2,Poor,0.22,0.81,On-Time,165537,Unstable,205139,Moderate,1,1,74903,On-Time,0
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Michael Doyle,48,Male,Single,Unemployed,Healthcare,7,Masters,750,Car Loan,Vehicle Purchase,359047,36,2,Average,0.46,0.23,Missed Payments,47053,Stable,139468,Moderate,0,3,277202,Late Payments,0
John Koch,20,Female,Married,Salaried,Education,4,High School,647,Home Loan,Home Renovation,30650,24,1,Good,0.46,0.16,Late Payments,118158,Stable,355110,High,0,3,115463,On-Time,0
John Kane,47,Female,Divorced,Unemployed,IT,12,PhD,546,Personal Loan,Wedding,250849,24,2,Poor,0.84,0.6,On-Time,47823,Stable,493065,Moderate,1,3,349403,On-Time,0
Kathleen Allen,52,Male,Single,Self-Employed,Healthcare,15,High School,821,Personal Loan,Vacation,284465,36,1,Poor,0.41,0.48,Missed Payments,189310,Unstable,66919,High,1,1,439562,Missed Payments,0
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Olivia Suarez,48,Female,Single,Unemployed,IT,3,High School,376,Personal Loan,Wedding,31123,36,1,Average,0.61,0.58,On-Time,193842,Stable,168733,Low,1,3,329788,Late Payments,0
Michael Gonzalez,59,Male,Divorced,Salaried,Manufacturing,16,High School,305,Car Loan,Vehicle Purchase,359768,60,2,Good,0.79,0.37,On-Time,170688,Stable,486591,High,1,3,492668,Late Payments,0
Matthew Carr,41,Male,Single,Unemployed,Education,16,Bachelors,466,Car Loan,Vehicle Purchase,404095,60,4,Poor,0.64,0.51,Late Payments,135804,Unstable,213588,Low,0,3,417972,Late Payments,0
Tina Terry,39,Male,Divorced,Self-Employed,IT,13,Bachelors,685,Car Loan,Vehicle Purchase,109074,48,1,Average,0.56,0.12,On-Time,172519,Stable,64855,Low,1,2,430565,Late Payments,0
Cassandra Sellers,68,Female,Married,Self-Employed,Education,5,Bachelors,763,Car Loan,Car Repair,402138,60,1,Poor,0.67,0.6,Missed Payments,147555,Unstable,373060,Low,1,1,370100,Late Payments,0
Mrs. Diane Stephens,36,Female,Divorced,Salaried,Finance,0,High School,385,Car Loan,Car Repair,57120,24,4,Average,0.65,0.97,Late Payments,87326,Stable,368724,Low,1,3,470154,Missed Payments,0
Christopher Myers,29,Female,Married,Unemployed,Finance,6,High School,373,Car Loan,Vehicle Purchase,480908,96,4,Poor,0.3,0.42,Late Payments,36591,Stable,231489,High,1,4,172099,On-Time,0
Justin Baldwin,33,Female,Single,Salaried,Manufacturing,2,High School,542,Car Loan,Car Repair,66457,84,2,Poor,0.69,0.44,Late Payments,32704,Stable,180752,Low,0,2,141414,Late Payments,0
Gabriel Rivera,63,Female,Married,Salaried,Healthcare,0,Masters,877,Personal Loan,Vacation,179670,84,2,Average,0.26,0.49,On-Time,172616,Stable,147429,High,0,3,400063,Late Payments,0
Joseph Davenport,30,Female,Single,Unemployed,Healthcare,4,High School,653,Car Loan,Car Repair,266564,48,3,Average,0.3,0.82,On-Time,74327,Unstable,357201,Moderate,1,1,163790,On-Time,0
Chelsea Burton,65,Female,Married,Unemployed,Manufacturing,6,Bachelors,568,Home Loan,Buying a House,465748,12,2,Poor,0.31,0.66,On-Time,156523,Stable,406184,High,0,1,148923,Late Payments,0
Thomas Walters,53,Female,Married,Self-Employed,Manufacturing,16,High School,493,Business Loan,Business Expansion,218920,72,0,Poor,0.71,0.5,Missed Payments,114456,Stable,124210,Moderate,0,1,225638,Missed Payments,1
Melody Anderson,41,Female,Divorced,Self-Employed,IT,9,Masters,712,Car Loan,Vehicle Purchase,350618,96,0,Good,0.33,0.84,Missed Payments,194838,Stable,352444,Low,0,2,380878,Missed Payments,0
Brian Rivera,35,Male,Divorced,Self-Employed,Education,14,PhD,817,Business Loan,Business Expansion,399194,96,4,Good,0.35,0.15,On-Time,141467,Stable,58993,Low,1,3,327430,Late Payments,0
Angel Miller,45,Male,Divorced,Self-Employed,Education,12,Bachelors,436,Business Loan,Working Capital,336534,84,4,Good,0.72,0.98,Late Payments,45229,Unstable,438397,High,0,1,58308,On-Time,0
Robert Dougherty,68,Male,Divorced,Self-Employed,IT,10,High School,744,Car Loan,Vehicle Purchase,318148,60,3,Poor,0.76,0.75,Late Payments,117679,Stable,92481,High,0,1,205323,Late Payments,0
Karen Moses,38,Female,Married,Salaried,Finance,13,High School,372,Car Loan,Car Repair,379024,24,4,Average,0.37,0.99,On-Time,177498,Unstable,202859,High,1,1,132733,On-Time,0
Kimberly Hickman,45,Male,Single,Unemployed,Finance,10,Bachelors,861,Business Loan,Equipment Purchase,468171,36,0,Poor,0.15,0.12,Late Payments,149908,Unstable,371947,Low,1,1,193903,Missed Payments,0
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Aaron Graves,57,Female,Married,Salaried,Finance,16,Masters,303,Business Loan,Equipment Purchase,6064,36,4,Poor,0.59,0.29,On-Time,30875,Stable,430496,Moderate,1,4,192495,On-Time,0
Robert Keith,25,Female,Married,Unemployed,Manufacturing,15,Bachelors,318,Home Loan,Property Investment,178106,72,4,Good,0.83,0.43,Late Payments,76863,Unstable,324321,Moderate,0,1,265890,Late Payments,0
Grant Harris,31,Female,Single,Self-Employed,IT,4,Masters,869,Home Loan,Property Investment,382656,24,1,Poor,0.16,0.75,On-Time,41816,Unstable,352695,High,1,3,129687,Missed Payments,0
Mike Singleton,20,Female,Married,Unemployed,Finance,9,Masters,364,Business Loan,Equipment Purchase,31050,36,2,Good,0.45,0.82,Late Payments,95746,Stable,474048,Moderate,1,2,308392,Missed Payments,0
David Dennis,62,Female,Single,Self-Employed,Education,14,Bachelors,641,Personal Loan,Medical Emergency,253308,12,0,Average,0.76,0.23,Late Payments,58642,Stable,57027,Moderate,1,3,295478,On-Time,0
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Robin Parker,20,Male,Married,Salaried,IT,1,Bachelors,860,Home Loan,Buying a House,58541,60,3,Poor,0.13,0.63,Missed Payments,41902,Stable,123469,Moderate,1,3,367209,On-Time,0
Heather Jordan,48,Male,Married,Self-Employed,Finance,9,Bachelors,821,Personal Loan,Wedding,453483,84,3,Good,0.57,0.48,Late Payments,100506,Stable,214536,Low,1,3,407400,Missed Payments,0
Lisa Davenport,26,Male,Married,Unemployed,IT,6,PhD,473,Home Loan,Home Renovation,251741,72,3,Average,0.87,0.71,On-Time,45054,Stable,407666,Moderate,1,3,270550,On-Time,0
Brittany Boyle,26,Female,Single,Salaried,Education,10,Masters,698,Car Loan,Car Repair,109852,12,1,Good,0.46,0.62,Missed Payments,177129,Unstable,450628,High,1,3,443601,Missed Payments,0
Nathan Wells,55,Male,Married,Unemployed,Manufacturing,2,Bachelors,523,Business Loan,Equipment Purchase,161014,60,0,Good,0.58,0.26,On-Time,77154,Stable,280418,Low,0,4,339082,Missed Payments,0
Brett Beard,50,Female,Married,Unemployed,Education,7,Bachelors,588,Home Loan,Buying a House,312556,12,4,Poor,0.38,0.96,On-Time,142373,Unstable,93655,High,1,3,439293,Missed Payments,0
Thomas Walters,53,Female,Married,Self-Employed,Manufacturing,16,High School,493,Business Loan,Business Expansion,218920,72,0,Poor,0.71,0.5,Missed Payments,114456,Stable,124210,Moderate,0,1,225638,Missed Payments,1
Steven Alvarado,59,Female,Married,Salaried,Healthcare,15,High School,603,Business Loan,Working Capital,20236,36,2,Average,0.31,0.73,Missed Payments,97533,Unstable,133632,Low,1,3,301439,Missed Payments,0
Jimmy Clarke,45,Male,Married,Self-Employed,Education,7,Masters,398,Business Loan,Business Expansion,479213,60,3,Good,0.51,0.79,Late Payments,114998,Stable,394975,Moderate,1,1,68475,Late Payments,0
Christopher Armstrong,55,Male,Single,Unemployed,Finance,18,High School,722,Car Loan,Vehicle Purchase,171871,24,0,Average,0.69,0.64,Missed Payments,190285,Stable,304082,Low,0,3,402110,Missed Payments,0
Thomas Walters,53,Female,Married,Self-Employed,Manufacturing,16,High School,493,Business Loan,Business Expansion,218920,72,0,Poor,0.71,0.5,Missed Payments,114456,Stable,124210,Moderate,0,1,225638,Missed Payments,1
Curtis Clark,53,Female,Married,Self-Employed,IT,3,PhD,720,Personal Loan,Debt Consolidation,214966,24,2,Poor,0.33,0.62,Late Payments,101042,Unstable,298761,Low,0,3,488471,Late Payments,0
Sherri Brooks,42,Female,Single,Salaried,IT,16,Bachelors,474,Home Loan,Home Renovation,394634,24,3,Good,0.49,0.79,Late Payments,126725,Unstable,181781,High,1,4,222060,Missed Payments,0
Beth Peterson,39,Male,Single,Salaried,Manufacturing,14,PhD,724,Business Loan,Working Capital,248624,48,3,Good,0.75,0.81,On-Time,44401,Stable,246569,Low,0,4,131928,On-Time,0
Joshua Rice,28,Male,Single,Unemployed,Healthcare,4,High School,351,Car Loan,Vehicle Purchase,182058,48,3,Good,0.34,0.57,Missed Payments,170438,Stable,131288,Moderate,1,1,459217,Late Payments,0
Elizabeth Richardson,61,Female,Single,Self-Employed,Manufacturing,15,PhD,812,Home Loan,Property Investment,419692,60,2,Good,0.37,0.24,Late Payments,162572,Stable,283143,Low,0,1,334091,Late Payments,0
Regina West,39,Male,Married,Self-Employed,Manufacturing,9,Bachelors,600,Home Loan,Buying a House,399709,48,3,Poor,0.28,0.58,On-Time,117342,Unstable,254451,High,0,1,214208,Late Payments,0
Justin Walker,60,Male,Married,Unemployed,Education,2,Masters,653,Personal Loan,Wedding,202524,84,2,Poor,0.41,0.11,Missed Payments,100953,Unstable,58056,Moderate,0,4,81495,Missed Payments,0
Susan Rogers,55,Female,Single,Self-Employed,Manufacturing,14,PhD,793,Personal Loan,Medical Emergency,162918,72,2,Average,0.44,0.45,Late Payments,53810,Stable,497466,High,0,4,313124,Missed Payments,0
Jacob Barker,69,Male,Married,Self-Employed,Healthcare,11,Masters,359,Car Loan,Vehicle Purchase,23358,24,1,Average,0.45,0.99,Missed Payments,59641,Stable,91590,High,1,1,260126,On-Time,0
Allen Patel,69,Male,Single,Self-Employed,Manufacturing,18,PhD,851,Home Loan,Buying a House,231455,12,1,Average,0.33,0.39,Missed Payments,68483,Unstable,494923,Low,1,3,263157,Missed Payments,0
Nathan Barker,63,Male,Divorced,Self-Employed,Education,10,Bachelors,714,Business Loan,Business Expansion,178183,12,4,Poor,0.6,0.41,Late Payments,80533,Unstable,449823,Moderate,1,1,472864,On-Time,0
Jessica Jennings,31,Male,Married,Salaried,Healthcare,17,PhD,407,Car Loan,Car Repair,276405,36,1,Poor,0.85,0.97,Missed Payments,126227,Stable,44871,Low,1,4,355841,Missed Payments,1
Daniel Smith,43,Female,Married,Salaried,IT,15,High School,472,Car Loan,Vehicle Purchase,269608,96,0,Good,0.35,0.22,Missed Payments,79385,Unstable,285272,Moderate,1,1,395029,Missed Payments,0
Chelsea Reyes,19,Male,Married,Unemployed,IT,4,Bachelors,461,Business Loan,Business Expansion,232717,96,0,Poor,0.39,0.84,Late Payments,99492,Stable,482035,Moderate,1,1,317483,On-Time,0
