CustomerID,FirstName,LastName,Gender,Email,Phone,Age,City,Country,CurrentBalance,Currency,TotalTransactions,TotalDeposits,TotalWithdrawals,AverageTransactionAmount,TotalCashback,LastTransactionDate,PreferredContactMethod,AverageMonthlySpending,HighestTransactionAmount,LowestTransactionAmount,TotalNumberOfAccounts,AccountStatus,DepositStatus,LoanStatus,InternationalTransactionIndicator,VATUserStatus,TotalVATRefundAmount,DeviceModel,AppVersion,RecentActivityFlag,PreferredLanguage,Delivery,PlasticCard,RiskProfile
JoanCox45,Joan,Cox,Female,brycemoore@example.net,925.776.1730x189,31,Chicago,United States,33112.6,USD,271,35568.89,2914.8,936.11,73.42,2024-10-02,Phone,3784.62,9670.13,9.24,3,Active,Yes,No,6,Yes,296.48,Pixel 8,v1.9,No,English,110.53,Salary Card,Low
SarahCarter46,Sarah,Carter,Female,bradley44@example.org,001-671-416-4132x51748,36,Chicago,United States,36082.22,EUR,584,11558.79,26445.87,247.24,455.53,2024-06-11,Phone,982.55,1729.28,8.8,2,Dormant,No,No,267,Yes,585.65,Huawei P30,v2.5,Yes,English,515.17,MasterCard Platinum,Medium
JeffreyLopez47,Jeffrey,Lopez,Male,afoster@example.org,325-455-3832,52,New York,United States,2168.85,USD,269,19716.05,27866.14,573.13,261.26,2024-10-20,Phone,2295.4,5830.48,48.59,1,Active,No,No,53,Yes,809.36,Redmi Note 7,v1.3,Yes,Spanish,242.67,Salary Card,Medium
MitchellSharp48,Mitchell,Sharp,Male,hailey22@example.net,+1-825-582-4424x157,77,Chicago,United States,23411.56,USD,851,5609.69,13897.87,304.1,275.97,2024-06-25,Email,750.81,1510.99,20.53,1,Active,No,No,417,No,580.84,Pixel 8,v4.5,No,English,548.83,Diners Club,Low
RandallSnyder49,Randall,Snyder,Male,pacerichard@example.org,5659019723,18,San Diego,United States,16549.79,EUR,41,15894.85,18108.44,889.34,302.5,2024-11-23,SMS,4553.96,6639.1,15.96,2,Dormant,No,Yes,2,Yes,428.77,Pixel 9,v5.8,Yes,English,809.48,Visa Electron,Medium
LindaWoods50,Linda,Woods,Female,ydavis@example.com,552-612-1888,25,Chicago,United States,32030.77,EUR,507,44738.0,19909.95,665.96,104.99,2024-12-25,SMS,4522.01,9354.41,33.84,2,Dormant,No,Yes,251,No,327.34,iPhone 13,v3.6,No,English,588.14,Diners Club,Medium
KarenMay51,Karen,May,Female,andrewsmith@example.org,346.388.0233,48,San Antonio,United States,28405.72,EUR,211,46273.64,32158.92,889.88,270.54,2025-03-04,Email,4265.8,2686.53,36.13,1,Dormant,No,No,48,No,337.13,Pixel 9,v3.0,No,English,59.41,Visa Electron,Low
JustinSims52,Justin,Sims,Male,cassandra46@example.net,985.494.1013,20,San Diego,United States,16794.21,USD,711,22441.93,40890.23,340.73,46.01,2024-12-25,Phone,4274.13,6059.66,33.17,3,Active,No,No,21,Yes,82.76,Redmi Note 7,v3.3,No,English,440.67,Salary Card,Low
MeganJones53,Megan,Jones,Female,zfreeman@example.net,+1-296-847-4004,73,Austin,United States,38422.56,USD,352,15095.98,21911.24,832.11,31.54,2025-03-15,SMS,3236.66,9187.85,14.14,5,Dormant,No,No,171,No,778.17,Redmi Note 7,v5.8,Yes,Spanish,157.77,Visa Classic,Medium
MelissaNelson54,Melissa,Nelson,Female,joshua58@example.net,263-555-0110x1447,43,Los Angeles,United States,26389.27,EUR,739,11555.72,44383.83,141.0,15.06,2024-03-30,SMS,2510.93,6357.12,24.51,3,Dormant,Yes,No,318,Yes,472.05,iPhone 15,v3.9,Yes,English,138.49,Salary Card,Medium
ChristinaSmith55,Christina,Smith,Female,samanthajackson@example.org,+1-683-327-8991,21,Jacksonville,United States,7411.99,EUR,90,3773.67,36052.96,594.9,462.2,2024-10-23,SMS,4106.25,6014.3,43.34,5,Active,No,No,41,Yes,885.7,Huawei P30,v2.3,Yes,English,998.92,Salary Card,Medium
GraceWatts56,Grace,Watts,Female,bmiller@example.net,+1-894-658-1076x239,57,Philadelphia,United States,40601.05,EUR,845,4986.03,19776.65,884.23,236.08,2025-03-09,SMS,3968.28,1635.55,13.57,1,Dormant,No,No,177,No,277.12,Pixel 8,v5.5,No,English,866.14,Visa Platinum,Low
MichaelGreen57,Michael,Green,Male,marioboyer@example.net,(825)880-8825,24,Dallas,United States,28236.95,EUR,878,49437.4,24457.4,627.91,429.64,2024-04-07,Email,2900.99,6200.69,43.64,2,Active,Yes,Yes,309,Yes,965.65,Pixel 8,v2.1,No,French,757.52,Discover,Low
MichaelRobertson58,Michael,Robertson,Male,longjulie@example.net,(426)404-5596,31,New York,United States,23792.63,USD,489,19444.02,16216.39,27.98,184.37,2025-02-11,Phone,1517.54,6162.27,31.02,5,Active,No,No,99,No,239.94,Samsung Galaxy S21,v3.1,No,English,875.69,Discover,Low
ElijahBaker59,Elijah,Baker,Male,rossrachel@example.net,(494)560-7833x8212,40,San Jose,United States,4472.78,USD,365,29277.01,26891.11,908.32,388.47,2024-06-21,SMS,2918.89,5657.77,40.46,1,Dormant,No,Yes,46,No,764.22,MI 8,v5.1,No,English,269.1,American Express,Low
SpencerCastro60,Spencer,Castro,Male,qmorales@example.org,327.610.6792,25,Jacksonville,United States,1067.91,USD,789,43406.95,15894.17,815.24,56.36,2024-12-03,Phone,2472.6,6218.87,29.95,3,Active,No,Yes,224,No,206.44,Redmi Note 7,v3.8,No,English,778.18,Discover,Low
AmandaWilliams61,Amanda,Williams,Female,marquezrobin@example.org,+1-605-226-8835x3762,77,San Diego,United States,46690.95,USD,144,19242.94,3367.18,692.49,478.05,2024-04-03,Email,1607.65,3187.36,11.08,1,Active,No,Yes,12,No,677.92,Samsung Galaxy S21,v2.2,No,English,27.92,Prepaid Card,Low
KellyTyler62,Kelly,Tyler,Female,russellandrade@example.net,7025035355,51,Los Angeles,United States,7244.41,EUR,536,44381.09,983.55,727.58,272.34,2024-08-15,Phone,3786.53,8014.12,24.86,3,Dormant,Yes,Yes,174,No,181.42,Redmi Note 7,v3.5,No,English,700.06,Visa Electron,Low
JordanYang63,Jordan,Yang,Female,ejohnson@example.com,+1-915-368-0921x9287,67,San Jose,United States,7545.98,EUR,397,2494.68,3154.57,319.78,433.05,2024-11-15,Email,577.61,7380.41,28.0,3,Dormant,No,No,71,Yes,57.26,Huawei P30,v1.6,No,English,452.79,Salary Card,Low
LauraWilliams64,Laura,Williams,Female,sanchezallison@example.org,401-886-9398x244,19,Los Angeles,United States,44990.82,USD,618,22235.77,33019.32,553.3,233.54,2024-04-03,Phone,2222.02,2561.53,10.83,3,Dormant,Yes,Yes,251,Yes,612.52,Huawei P30,v2.3,No,French,245.19,MasterCard Gold,Medium
JenniferTran65,Jennifer,Tran,Female,cmoses@example.net,(603)260-3218x486,40,San Antonio,United States,8494.34,USD,394,28611.79,17972.68,185.78,398.87,2024-07-07,SMS,1606.23,5687.64,43.31,1,Active,Yes,No,29,No,877.88,iPhone 15,v5.2,No,English,818.83,Salary Card,Low
RyanHarris66,Ryan,Harris,Male,jonathan51@example.com,4205149313,50,Dallas,United States,14243.03,EUR,152,44383.28,37548.95,973.48,370.41,2024-10-01,Phone,218.5,3745.45,44.04,4,Active,Yes,No,69,No,76.15,iPhone 13,v1.8,Yes,English,563.74,Visa Electron,Medium
KathleenRios67,Kathleen,Rios,Female,roneill@example.org,+1-331-996-6905x004,64,Dallas,United States,31224.53,EUR,572,22355.5,36081.85,940.93,202.98,2024-06-18,Phone,4634.55,8493.72,3.58,3,Dormant,No,Yes,58,No,984.65,Vivo Y27s,v2.7,Yes,English,822.49,Business Card,High
ThomasHill68,Thomas,Hill,Male,juliamendoza@example.com,(774)411-4822x12023,79,San Diego,United States,41429.12,USD,863,37605.52,25837.99,103.34,264.56,2024-09-01,Email,3786.17,6781.9,10.75,2,Dormant,No,Yes,224,No,42.41,Samsung Galaxy S21,v3.5,Yes,English,346.64,Salary Card,Low
PaulaStewart69,Paula,Stewart,Female,bhenderson@example.org,(316)545-7106,28,Philadelphia,United States,35629.76,EUR,994,7767.84,24310.16,469.07,453.7,2024-10-10,Email,2140.53,3811.64,21.19,3,Active,No,No,82,Yes,737.33,MI 8,v1.4,Yes,French,224.5,Visa Classic,Medium
AshleyRubio70,Ashley,Rubio,Female,udaniels@example.net,(455)522-7226,63,San Diego,United States,23276.41,USD,102,21212.81,30873.95,788.23,482.19,2024-07-23,Phone,2043.98,2929.82,21.1,1,Active,No,No,47,No,558.77,Redmi Note 7,v5.7,No,English,323.95,Salary Card,Low
ElizabethJoseph71,Elizabeth,Joseph,Female,campbellalyssa@example.com,001-954-655-0440x229,62,Chicago,United States,41826.73,EUR,122,38173.52,16153.4,463.42,141.82,2025-02-05,Phone,630.21,2808.19,48.81,4,Dormant,No,Yes,44,Yes,387.81,Huawei P30,v4.2,Yes,Spanish,83.55,Salary Card,Low
HeidiStewart72,Heidi,Stewart,Female,sblevins@example.net,568-433-0337x11707,32,Phoenix,United States,19096.95,EUR,420,16501.73,18204.97,745.83,492.92,2024-12-31,SMS,3721.66,5227.83,31.66,3,Dormant,Yes,No,150,No,904.44,MI 8,v1.0,Yes,English,755.21,Visa Electron,High
OliviaGarcia73,Olivia,Garcia,Female,joelbryant@example.net,(379)522-7842,46,Chicago,United States,47770.76,USD,935,10585.46,44007.28,810.12,380.49,2025-02-21,Phone,2199.23,4038.71,14.94,4,Dormant,Yes,No,205,No,174.1,Pixel 9,v5.9,No,English,903.06,Salary Card,Medium
RandyDalton74,Randy,Dalton,Male,ujames@example.net,622-956-7712x3220,44,Philadelphia,United States,36392.76,EUR,232,35314.84,31253.84,758.59,279.12,2025-03-11,Phone,3173.47,6097.09,32.74,1,Dormant,No,Yes,78,Yes,79.21,Vivo Y27s,v2.3,Yes,English,867.58,Salary Card,Low
JeffreyRodriguez75,Jeffrey,Rodriguez,Male,ryanbates@example.net,+1-477-505-3346x3560,66,San Antonio,United States,8908.96,USD,449,46255.06,31821.16,993.83,293.89,2024-07-08,SMS,4163.86,8898.76,15.28,1,Active,No,No,196,Yes,88.6,MI 8,v3.1,Yes,English,930.41,Salary Card,Low
AmySmith76,Amy,Smith,Female,hgreen@example.net,+1-559-217-6629,55,Houston,United States,20241.08,EUR,279,14089.43,19196.16,93.33,43.28,2025-02-24,Email,4004.99,7288.18,16.94,1,Dormant,No,No,134,Yes,832.92,Pixel 9,v4.9,Yes,English,456.1,MasterCard Standard,Low
SamanthaMoon77,Samantha,Moon,Female,michael64@example.net,001-640-995-7302x4862,78,Austin,United States,29340.59,USD,247,18936.56,19227.08,563.5,156.68,2024-08-17,SMS,1947.54,7596.83,3.93,4,Active,No,Yes,36,Yes,869.39,Pixel 9,v1.7,Yes,English,389.01,Diners Club,Medium
DonaldMiller78,Donald,Miller,Male,gibbssamuel@example.org,937.563.5850,40,Los Angeles,United States,2305.79,USD,681,7311.59,24235.01,962.45,111.86,2024-03-31,SMS,2242.53,5609.05,24.59,1,Active,Yes,No,26,No,646.2,Redmi Note 7,v4.8,No,Spanish,53.06,Visa Gold,Medium
JeremyThomas79,Jeremy,Thomas,Male,davidpollard@example.org,4752073109,65,San Jose,United States,9300.17,USD,238,45233.12,33930.16,229.2,370.45,2024-10-02,Email,1980.18,8267.82,15.74,3,Active,No,No,54,No,79.55,Pixel 8,v5.4,No,English,647.89,Business Card,Medium
ElizabethChen80,Elizabeth,Chen,Female,pboyle@example.net,687.410.5531x2453,38,San Diego,United States,15692.61,EUR,767,42692.94,7994.69,147.0,65.27,2024-03-24,SMS,1568.19,4797.96,36.98,1,Active,Yes,No,356,No,319.6,Samsung Galaxy S21,v5.4,No,English,821.25,Visa Platinum,Medium
JoshuaShaffer81,Joshua,Shaffer,Male,charlesmiller@example.org,001-523-825-2184,25,Jacksonville,United States,36241.77,EUR,797,47384.82,27180.94,294.55,469.12,2024-05-21,Email,1991.04,6257.13,32.67,1,Active,Yes,No,232,Yes,509.46,Redmi Note 7,v4.8,Yes,English,46.77,UnionPay,Medium
DeniseCurtis82,Denise,Curtis,Female,kim34@example.net,(859)771-7777x6073,69,Houston,United States,15462.14,EUR,438,1758.09,7322.63,885.89,142.64,2024-04-03,SMS,2782.44,604.23,14.51,5,Dormant,No,No,185,No,389.85,iPhone 15,v4.8,Yes,English,606.66,MasterCard Gold,Low
MonicaKing83,Monica,King,Female,paigearias@example.com,225-723-6846,75,San Jose,United States,35484.17,USD,72,26509.58,19131.51,205.0,340.29,2024-09-08,Email,3486.57,3814.18,23.81,3,Active,No,Yes,10,Yes,11.38,Vivo Y27s,v1.4,No,English,721.58,Prepaid Card,Low
RobinBradley84,Robin,Bradley,Female,lcarr@example.org,(871)587-6974x42737,53,Jacksonville,United States,21005.89,USD,299,13549.44,27953.97,970.4,94.63,2024-05-14,Email,2652.98,2876.13,7.66,3,Dormant,No,No,86,No,695.52,Pixel 8,v5.1,Yes,English,281.37,Visa Gold,Medium
MichaelRobertson85,Michael,Robertson,Male,davisjennifer@example.com,(462)565-7369,36,San Diego,United States,3274.59,EUR,322,21976.94,16890.77,178.22,321.59,2024-10-06,Email,2863.69,5257.62,34.91,5,Active,No,Yes,15,No,847.19,iPhone 15,v2.6,Yes,English,347.98,Visa Platinum,Medium
